wer	acts	words	chars
OTTO	2	12	57
ADELRAM	17	379	2114
DER SCHÖFFE	8	197	1066
DIE BÜRGER	4	26	144
LUDWIG	64	3902	21111
EIN BÜRGER	3	19	101
MEHRERE RITTER	1	2	11
DIE ÜBRIGEN RITTER	2	8	35
DER BURGGRAF	16	914	5098
ALBERTUS	17	743	4056
ERSTER EDELKNABE	6	54	307
ZWEITER EDELKNABE	5	72	422
FRIEDRICH	92	2672	14524
ISABELLA	19	926	4987
LEOPOLD	26	1406	7610
DIE FÜRSTEN AUF LUDWIGS SEITE	1	7	44
DIE FÜRSTEN AUF FRIEDRICHS SEITE	1	7	41
DER LEGAT	6	347	2073
DIE FÜRSTEN	1	9	41
THOMAS	18	463	2488
STEFFEN	17	193	1041
SCHWEPPERMANN	16	576	3130
ALBRECHT	21	527	2731
DIETRICH	10	368	1964
DIE KNAPPEN	5	19	110
EIN RITTER 3.3	2	49	269
EIN RITTER 3.4	0	0	0
EIN ANDRER RITTER 3.4	0	0	0
EIN RITTER 4.1	3	41	228
EIN ANDRER RITTER 4.1	1	15	80
DIE ÖSTERREICHER	1	5	26
DIE BAYER	3	9	47
EINIGE	1	1	4
ANDRE	1	2	10
ERSTE PILGERIN	2	146	811
ZWEITE PILGERIN	3	7	44
DIE BEGLEITERIN	2	4	26
BURGVOGT	10	180	994
ERSTER WÄCHTER	7	32	185
ZWEITER WÄCHTER	4	16	91
DRITTER WÄCHTER	4	18	99
DIE WÄCHTER	3	12	70
ERSTER BÜRGER	5	160	878
ZWEITER BÜRGER	4	37	203
STEPHAN	2	24	120
